category,subcategory,problem,solution,keywords,priority,estimated_resolution_time,requires_human,department,policy_reference
Billing,Payment Failed,"My credit card payment was declined","1. Verify card details are correct (number, expiry, CVV). 2. Check if card has sufficient funds. 3. Ensure billing address matches card statement. 4. Try a different payment method. 5. Contact your bank if issue persists.","payment,declined,credit card,transaction failed,card rejected",medium,5 minutes,false,Billing,POL-BIL-001
Billing,Refund Request,"I want a refund for my purchase","1. Confirm order number and purchase date. 2. Check refund eligibility (within 30 days, unused). 3. Initiate refund to original payment method. 4. Refund processes in 5-7 business days. 5. Send confirmation email.","refund,money back,return,cancel order",medium,10 minutes,false,Billing,POL-BIL-002
Billing,Double Charge,"I was charged twice for the same order","1. Verify transaction history in system. 2. Confirm duplicate charge exists. 3. Initiate immediate refund for duplicate. 4. Apologize for inconvenience. 5. Offer 10% discount on next purchase.","double charge,charged twice,duplicate payment,overcharged",high,15 minutes,false,Billing,POL-BIL-003
Billing,Subscription Cancel,"I want to cancel my subscription","1. Confirm customer identity and subscription. 2. Ask reason for cancellation (retention opportunity). 3. Offer pause option or downgrade. 4. If proceeding, cancel at end of billing cycle. 5. Confirm no future charges.","cancel subscription,stop recurring,end membership,unsubscribe",medium,5 minutes,false,Billing,POL-BIL-004
Billing,Invoice Request,"I need a copy of my invoice","1. Verify customer account. 2. Locate invoice in system. 3. Send invoice via email. 4. Offer to explain any line items. 5. Provide invoice portal access instructions.","invoice,receipt,bill copy,statement",low,3 minutes,false,Billing,POL-BIL-005
Billing,Price Mismatch,"The price charged is different from advertised","1. Verify advertised price (screenshot if available). 2. Check for applicable promotions/coupons. 3. If error confirmed, adjust charge immediately. 4. Apply price match guarantee. 5. Document for marketing review.","wrong price,price difference,overcharged,incorrect amount",high,10 minutes,false,Billing,POL-BIL-006
Technical,Login Issues,"I can't log into my account","1. Verify email/username is correct. 2. Check caps lock and keyboard language. 3. Initiate password reset via email. 4. Clear browser cache and cookies. 5. Try incognito mode or different browser.","login,password,can't access,locked out,forgot password",high,5 minutes,false,Technical Support,POL-TECH-001
Technical,App Crash,"The mobile app keeps crashing","1. Check for app updates in store. 2. Restart the device. 3. Clear app cache and data. 4. Reinstall the app. 5. Check device compatibility. 6. Collect crash logs if issue persists.","app crash,freezing,not working,closes itself,force close",medium,10 minutes,false,Technical Support,POL-TECH-002
Technical,Slow Performance,"The website/app is very slow","1. Check internet connection speed. 2. Clear browser cache. 3. Disable browser extensions. 4. Try different network (WiFi vs mobile). 5. Check our status page for outages.","slow,loading,performance,lag,timeout",medium,5 minutes,false,Technical Support,POL-TECH-003
Technical,Feature Not Working,"A specific feature isn't functioning","1. Identify the exact feature and steps to reproduce. 2. Check if feature is available in user's plan. 3. Verify browser/app version compatibility. 4. Test in incognito mode. 5. Escalate to engineering if confirmed bug.","broken,not working,bug,feature,error",medium,15 minutes,true,Technical Support,POL-TECH-004
Technical,Data Sync,"My data isn't syncing across devices","1. Verify same account on all devices. 2. Check internet connectivity on each device. 3. Force sync in app settings. 4. Log out and log back in. 5. Check sync settings are enabled.","sync,data missing,not updating,different data",medium,10 minutes,false,Technical Support,POL-TECH-005
Technical,Error Message,"I'm getting an error message","1. Note exact error code/message. 2. Check known issues database. 3. Provide specific fix for error. 4. Clear cache if generic error. 5. Collect logs for unknown errors.","error,message,code,failed,exception",medium,10 minutes,false,Technical Support,POL-TECH-006
Account,Update Info,"I need to update my personal information","1. Verify customer identity (security questions). 2. Identify what info needs updating. 3. Make changes in system. 4. Confirm changes with customer. 5. Send confirmation email.","update,change,personal info,address,phone,email",low,5 minutes,false,Account Services,POL-ACC-001
Account,Close Account,"I want to delete my account","1. Verify customer identity. 2. Explain data retention policy. 3. Offer to export data first. 4. Process account deletion request. 5. Confirm 30-day grace period before permanent deletion.","delete account,close,remove,gdpr,data deletion",medium,10 minutes,false,Account Services,POL-ACC-002
Account,Security Concern,"I think my account was hacked","1. Immediately reset password. 2. Enable two-factor authentication. 3. Review recent account activity. 4. Check for unauthorized changes. 5. Report suspicious transactions. 6. Consider escalating to security team.","hacked,security,unauthorized,suspicious,compromised",critical,20 minutes,true,Security,POL-SEC-001
Account,Verification,"I need to verify my account","1. Send verification email/SMS. 2. Confirm customer receives code. 3. Enter code in system. 4. If no code received, check spam folder. 5. Resend or use alternative method.","verify,verification,confirm,validate",low,5 minutes,false,Account Services,POL-ACC-003
Account,Password Reset,"I forgot my password and can't reset it","1. Verify account email is accessible. 2. Check spam folder for reset email. 3. Try alternative reset methods (SMS, security questions). 4. Manual identity verification if needed. 5. Generate temporary password.","password,reset,forgot,locked,access",high,10 minutes,false,Account Services,POL-ACC-004
Orders,Track Order,"Where is my order?","1. Get order number from customer. 2. Look up order in system. 3. Provide current shipping status. 4. Share tracking number and carrier link. 5. Estimate delivery date based on carrier info.","tracking,order status,shipment,delivery,where is",medium,5 minutes,false,Order Support,POL-ORD-001
