faq_id,question,answer,category,keywords,views,helpful_votes
FAQ001,What is your return policy?,"We offer a 30-day return policy for most items. Products must be unused and in original packaging. Electronics have a 15-day return window. Final sale items are non-returnable. Refunds are processed within 5-7 business days to your original payment method.",Returns,"return,policy,refund,exchange,30 days",15420,14250
FAQ002,How do I track my order?,"Log into your account and go to 'My Orders'. Click on the order you want to track. You'll see the current status and tracking number. Click the tracking number to view detailed carrier tracking. You can also track directly on the carrier's website.",Orders,"track,order,shipping,status,where is",12350,11890
FAQ003,How do I reset my password?,"Click 'Forgot Password' on the login page. Enter your email address. Check your inbox for a reset link (check spam if not received). Click the link and create a new password. Password must be at least 8 characters with one number.",Account,"password,reset,forgot,login,access",9870,9200
FAQ004,Do you offer free shipping?,"Yes! We offer free standard shipping on orders over $50. Members get free shipping on all orders. Express and overnight shipping have additional fees. Free shipping typically takes 5-7 business days.",Shipping,"free shipping,delivery,shipping cost",8540,7980
FAQ005,How do I cancel my order?,"You can cancel orders that haven't shipped yet. Go to 'My Orders' and click 'Cancel Order'. If the order has shipped, you'll need to return it once received. Refunds for cancelled orders process immediately.",Orders,"cancel,order,stop,don't want",7620,7100
FAQ006,What payment methods do you accept?,"We accept Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, and Shop Pay. We also offer Affirm for buy-now-pay-later on orders over $100.",Payments,"payment,credit card,PayPal,Apple Pay",6890,6450
FAQ007,How do I contact customer support?,"Phone: 1-800-XXX-XXXX (9AM-9PM EST). Email: support@company.com (24hr response). Live Chat: Available on our website 24/7. Social Media: @company on Twitter and Facebook.",Contact,"contact,support,help,phone,email",6540,6200
FAQ008,What is your warranty policy?,"Most products come with a manufacturer warranty. Electronics: 12-24 months. Accessories: 6-12 months. Extended warranties are available for purchase. Keep your receipt as proof of purchase.",Warranty,"warranty,guarantee,coverage,protection",5980,5600
FAQ009,How do I apply a discount code?,"Enter your code in the 'Promo Code' field at checkout. Click 'Apply' to see the discount. Only one code can be used per order. Some codes have minimum purchase requirements or product exclusions.",Promotions,"discount,code,coupon,promo,savings",5670,5300
FAQ010,Can I change my shipping address?,"If your order hasn't shipped, you can change the address in 'My Orders'. If already shipped, contact the carrier to request a redirect (fees may apply). For future orders, update your address in Account Settings.",Shipping,"address,change,shipping,delivery",5120,4800
FAQ011,How long does shipping take?,"Standard: 5-7 business days. Express: 2-3 business days. Overnight: Next business day (order by 2PM). Processing time: 1-2 business days. International: 7-21 days depending on destination.",Shipping,"shipping time,delivery,how long,days",4980,4650
FAQ012,Do you ship internationally?,"Yes, we ship to over 50 countries. International shipping rates are calculated at checkout. Customer is responsible for customs duties and taxes. Some products may be restricted in certain countries.",Shipping,"international,global,overseas,countries",4560,4200
FAQ013,How do I leave a product review?,"Go to the product page. Click 'Write a Review'. Rate the product and write your review. Add photos if you'd like. Submit for approval. Reviews typically post within 24-48 hours.",Products,"review,rating,feedback,stars",4120,3850
FAQ014,What if my item arrives damaged?,"Contact us within 48 hours of delivery. Provide photos of the damage. We'll send a replacement immediately. Keep the damaged item until instructed. No return shipping needed for damaged items.",Orders,"damaged,broken,defective,problem",3980,3700
FAQ015,How do I sign up for the newsletter?,"Enter your email in the footer signup box. You'll receive a confirmation email. Click to confirm your subscription. Get 10% off your first order as a subscriber. Unsubscribe anytime.",Account,"newsletter,email,subscribe,signup",3540,3200
FAQ016,Are my payment details secure?,"Yes! We use SSL encryption for all transactions. We're PCI-DSS compliant. We never store full credit card numbers. Look for the padlock icon in your browser.",Security,"secure,payment,safe,privacy,ssl",3420,3150
FAQ017,How do loyalty points work?,"Earn 1 point per dollar spent. Points are added after order delivers. Redeem points at checkout. 100 points = $5 discount. Points expire after 12 months of inactivity.",Loyalty,"points,rewards,loyalty,earn,redeem",3280,3000
FAQ018,Can I buy a gift card?,"Yes! Digital gift cards available from $25-$500. Sent via email instantly. Never expire. Can be used for any purchase. Check balance anytime in Account Settings.",Gifts,"gift card,present,gift,voucher",3050,2800
FAQ019,How do I update my email preferences?,"Go to Account Settings > Email Preferences. Choose which emails you want to receive. Save your preferences. Changes take effect within 48 hours.",Account,"email,preferences,notifications,unsubscribe",2890,2650
FAQ020,What is your price match policy?,"We match prices from major retailers within 14 days of purchase. Show us the lower price. Product must be identical. Online prices must include shipping. Excludes clearance and marketplace sellers.",Pricing,"price match,competitor,cheaper,guarantee",2750,2500
